latitude,longitude,predicted_risk
22.9617,70.7644,0.99078923
22.9617,70.7644,0.99078923
22.9617,70.7644,0.99078923
22.7358,80.5131,0.9995159
22.7358,80.5131,0.9995159
22.7358,80.5131,0.9995159
22.7358,80.5131,0.9995159
22.7608,80.6236,0.9996351
22.7608,80.6236,0.9996351
22.7608,80.6236,0.9996351
22.9289,79.3394,0.9998567
22.9289,79.3394,0.9998567
22.9228,78.7908,0.99917835
22.9228,78.7908,0.99917835
22.9228,78.7908,0.99917835
22.4058,77.3081,0.9993794
22.4058,77.3081,0.9993794
21.2994,76.235,0.99974936
21.2994,76.235,0.99974936
21.2994,76.235,0.99974936
21.0158,73.1356,0.9990638
21.0158,73.1356,0.9990638
21.0158,73.1356,0.9990638
21.0158,73.1356,0.9990638
20.8581,72.985,0.9941637
20.8581,72.985,0.9941637
20.8581,72.985,0.9941637
24.1889,91.8308,0.99299437
24.1889,91.8308,0.99299437
24.1889,91.8308,0.99299437
19.0594,82.2758,0.9976199
19.0594,82.2758,0.9976199
19.0594,82.2758,0.9976199
19.0122,81.2325,0.9988489
19.0122,81.2325,0.9988489
19.0122,81.2325,0.9988489
19.3303,79.5042,0.999398
19.3303,79.5042,0.999398
19.3303,79.5042,0.999398
21.7189,78.8242,0.9984126
21.7189,78.8242,0.9984126
21.7189,78.8242,0.9984126
16.79,79.3388,0.9809038
16.79,79.3388,0.9809038
18.3133,83.8842,0.9995449
18.3133,83.8842,0.9995449
18.3133,83.8842,0.9995449
15.7117,79.9697,0.9985581
15.7117,79.9697,0.9985581
15.7117,79.9697,0.9985581
18.8483,83.8731,0.9993894
18.8483,83.8731,0.9993894
18.8483,83.8731,0.9993894
18.8483,83.8731,0.9993894
18.8483,83.8731,0.9993894
8.7144,77.835,0.99879754
8.7144,77.835,0.99879754
8.7144,77.835,0.99879754
8.7144,77.835,0.99879754
22.3333,84.5042,0.99939036
22.3333,84.5042,0.99939036
22.3333,84.5042,0.99939036
22.3333,84.5042,0.99939036
21.2089,86.1233,0.9993818
21.2089,86.1233,0.9993818
21.2089,86.1233,0.9993818
21.2089,86.1233,0.9993818
22.0658,85.6733,0.8045923
22.0658,85.6733,0.8045923
21.5447,86.9186,0.9985251
21.5447,86.9186,0.9985251
20.9833,83.5394,0.999686
20.9833,83.5394,0.999686
20.9833,83.5394,0.999686
20.9833,83.5394,0.999686
22.1136,84.0086,0.99941695
22.1136,84.0086,0.99941695
22.1136,84.0086,0.99941695
22.1136,84.0086,0.99941695
21.9864,83.2042,0.99972564
21.9864,83.2042,0.99972564
21.9864,83.2042,0.99972564
19.5167,84.8833,0.99969316
19.5167,84.8833,0.99969316
22.7914,86.1736,0.9990976
22.7914,86.1736,0.9990976
22.7914,86.1736,0.9990976
22.7914,86.1736,0.9990976
11.9814,75.5875,0.9993962
11.9814,75.5875,0.9993962
11.9814,75.5875,0.9993962
9.9406,76.4744,0.997647
9.9406,76.4744,0.997647
9.9406,76.4744,0.997647
9.9406,76.4744,0.997647
10.8992,76.1972,0.9992932
10.8992,76.1972,0.9992932
10.8992,76.1972,0.9992932
9.3325,76.6631,0.9910238
9.3325,76.6631,0.9910238
9.3325,76.6631,0.9910238
15.4711,74.0994,0.9969963
15.4711,74.0994,0.9969963
15.4711,74.0994,0.9969963
12.8844,75.0431,0.9997353
12.8844,75.0431,0.9997353
12.8844,75.0431,0.9997353
12.8844,75.0431,0.9997353
19.1622,73.2544,0.99386024
19.1622,73.2544,0.99386024
44.949,8.686,0.99895096
44.949,8.686,0.99895096
44.949,8.686,0.99895096
44.949,8.686,0.99895096
44.949,8.686,0.99895096
44.949,8.686,0.99895096
44.7047,142.2672,0.99455655
44.7047,142.2672,0.99455655
44.7047,142.2672,0.99455655
44.7047,142.2672,0.99455655
44.8089,142.0706,0.9990398
44.8089,142.0706,0.9990398
44.8089,142.0706,0.9990398
44.8089,142.0706,0.9990398
44.8089,142.0706,0.9990398
43.6772,141.9817,0.9993393
43.6772,141.9817,0.9993393
43.6772,141.9817,0.9993393
43.6772,141.9817,0.9993393
43.6358,141.9181,0.9998497
43.6358,141.9181,0.9998497
43.6358,141.9181,0.9998497
43.6358,141.9181,0.9998497
43.4325,141.8394,0.9999335
43.4325,141.8394,0.9999335
43.4325,141.8394,0.9999335
43.4325,141.8394,0.9999335
43.4325,141.8394,0.9999335
43.3322,141.6906,0.9990005
43.3322,141.6906,0.9990005
43.3322,141.6906,0.9990005
43.3322,141.6906,0.9990005
42.9311,143.4433,0.9369474
42.9311,143.4433,0.9369474
42.9311,143.4433,0.9369474
42.9311,143.4433,0.9369474
